123 Fake St.,Maydup City,TX,12345
1411 Locust Ave.,Fairmont,WV,26554
8602 Marconi Ave.,Clayton,NC,27520
92 Ivy Dr.,Jamaica,NY,11432
611 E. Morris Dr.,Dearborn Heights,MI,48127
368B Acacia St.,Simpsonville,SC,29680
51 Oak Drive,Massillon,OH,44646
71 W. Poplar Dr.,Dickson,TN,37055
93 Saxton St.,Mechanicsburg,PA,17050
8161 Country Club Dr.,Plainfield,NJ,07060
392 Franklin Rd.,Revere,MA,02151
8 Market Dr.,Niceville,FL,32578
27 Birch Hill Ct.,Titusville,FL,32780
9833 Lexington St.,Redondo Beach,CA,90278
8494 Chapel St.,Harrisburg,PA,17109
1 Pheasant Dr.,Lake Zurich,IL,60047
856 Halifax Ave.,Providence,RI,02904
414 Sutor Dr.,Lilburn,GA,30047
9937 E. Purple Finch Ave.,Naugatuck,CT,06770
569 Bank Dr.,San Lorenzo,CA,94580
